arm,arm_label,seed,env,task_id,status,success,gt_steps,executed_steps,exec_over_gt,wall_clock_s,total_llm_calls,oracle_calls,repair_calls,executor_calls,judge_calls,prompt_tokens,completion_tokens,total_tokens,llm_latency_s,verify_mode,z3_checks,z3_unsat_events,shadow_unsat_events,repair_mode,repair_attempts,repair_successes,escalations,cdcl_enabled,clauses_learned,outer_iters,oracle_plans,termination_reason,deadlocked,validator_rejections,forbidden_rejections,hard_bans,goal,git_sha,model,temperature,timestamp
folbp-prompt-only,- verification,0,env1,3,completed,True,7,7,1.0,13.35,2,2,0,0,0,7662,326,7988,13.338,none,0,0,0,none,0,0,0,False,0,2,2,,,,,,['Put the <pencil box>(43) on the <storage shelf>(38). They are both in the <utility room>(34).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:33:43+0530
pefa,PEFA (baseline),0,env1,3,completed,True,7,7,1.0,263.826,35,14,0,14,7,67482,1997,69479,263.718,,,,,,,,,,,,,,,,,,['Put the <pencil box>(43) on the <storage shelf>(38). They are both in the <utility room>(34).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:39:31+0530
folbp,"FOLBP (full, ours)",0,env1,4,completed,True,5,5,1.0,7.858,1,1,0,0,0,3817,149,3966,7.74,z3,1,0,0,symbolic,0,0,0,True,0,1,1,,,,,,['Put the <empty bottle>(46) into the <trash can>(47).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:35:18+0530
folbp-llm-repair,repair: LLM re-prompt,0,env1,4,completed,True,5,5,1.0,7.714,1,1,0,0,0,3817,149,3966,7.674,z3,1,0,0,llm,0,0,0,True,0,1,1,,,,,,['Put the <empty bottle>(46) into the <trash can>(47).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:35:41+0530
folbp-naive,naive one-shot,0,env1,4,completed,True,5,5,1.0,5.301,1,1,0,0,0,3817,149,3966,5.205,shadow,1,0,0,none,0,0,0,False,0,1,1,,,,,,['Put the <empty bottle>(46) into the <trash can>(47).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:36:00+0530
folbp-no-cdcl,- CDCL,0,env1,4,completed,True,5,5,1.0,7.755,1,1,0,0,0,3817,149,3966,7.713,z3,1,0,0,symbolic,0,0,0,False,0,1,1,,,,,,['Put the <empty bottle>(46) into the <trash can>(47).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:35:51+0530
folbp-prompt-only,- verification,0,env1,4,completed,True,5,5,1.0,5.637,1,1,0,0,0,3817,149,3966,5.613,none,0,0,0,none,0,0,0,False,0,1,1,,,,,,['Put the <empty bottle>(46) into the <trash can>(47).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:35:27+0530
pefa,PEFA (baseline),0,env1,4,completed,True,5,5,1.0,103.788,25,10,0,10,5,53545,2749,56294,103.72,,,,,,,,,,,,,,,,,,['Put the <empty bottle>(46) into the <trash can>(47).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:37:55+0530
folbp,"FOLBP (full, ours)",0,env1,5,completed,True,8,8,1.0,11.07,1,1,0,0,0,3764,199,3963,10.838,z3,2,1,0,symbolic,1,1,0,True,0,1,1,,,,,,['Put the <beer bottle>(48) on the <coffee table>(4). The <beer bottle>(48) is originally in the <fridge>(7).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:37:27+0530
folbp-llm-repair,repair: LLM re-prompt,0,env1,5,completed,True,8,8,1.0,16.127,2,1,1,0,0,7396,483,7879,15.97,z3,2,1,0,llm,1,1,0,True,0,1,1,,,,,,['Put the <beer bottle>(48) on the <coffee table>(4). The <beer bottle>(48) is originally in the <fridge>(7).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:38:16+0530
folbp-naive,naive one-shot,0,env1,5,completed,False,8,3,,9.453,1,1,0,0,0,3764,199,3963,9.376,shadow,1,1,1,none,0,0,0,False,0,2,1,,,,,,['Put the <beer bottle>(48) on the <coffee table>(4). The <beer bottle>(48) is originally in the <fridge>(7).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:38:25+0530
folbp-no-cdcl,- CDCL,0,env1,5,completed,True,8,8,1.0,9.511,1,1,0,0,0,3764,199,3963,9.288,z3,2,1,0,symbolic,1,1,0,False,0,1,1,,,,,,['Put the <beer bottle>(48) on the <coffee table>(4). The <beer bottle>(48) is originally in the <fridge>(7).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:38:10+0530
folbp-prompt-only,- verification,0,env1,5,completed,True,8,8,1.0,21.592,2,2,0,0,0,7975,347,8322,21.522,none,0,0,0,none,0,0,0,False,0,2,2,,,,,,['Put the <beer bottle>(48) on the <coffee table>(4). The <beer bottle>(48) is originally in the <fridge>(7).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:37:55+0530
pefa,PEFA (baseline),0,env1,5,completed,True,8,8,1.0,341.786,40,16,0,16,8,86441,2667,89108,341.655,,,,,,,,,,,,,,,,,,['Put the <beer bottle>(48) on the <coffee table>(4). The <beer bottle>(48) is originally in the <fridge>(7).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:44:03+0530
folbp,"FOLBP (full, ours)",0,env1,6,completed,True,7,8,1.1429,7.353,1,1,0,0,0,3711,230,3941,7.07,z3,1,0,0,symbolic,0,0,0,True,0,1,1,,,,,,['Put the <pencil box>(43) on the <coffee table>(4). The <pencil box>(43) is originally in the <utility room>(34).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:38:37+0530
folbp-llm-repair,repair: LLM re-prompt,0,env1,6,completed,True,7,8,1.1429,414.335,7,2,5,0,0,25496,1714,27210,413.809,z3,7,6,0,llm,5,0,1,True,1,2,2,,,,,,['Put the <pencil box>(43) on the <coffee table>(4). The <pencil box>(43) is originally in the <utility room>(34).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:45:57+0530
folbp-naive,naive one-shot,0,env1,6,completed,True,7,8,1.1429,8.64,1,1,0,0,0,3711,230,3941,8.447,shadow,1,0,0,none,0,0,0,False,0,1,1,,,,,,['Put the <pencil box>(43) on the <coffee table>(4). The <pencil box>(43) is originally in the <utility room>(34).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:40:03+0530
folbp-no-cdcl,- CDCL,0,env1,6,completed,True,7,8,1.1429,8.595,1,1,0,0,0,3711,173,3884,8.381,z3,3,2,0,symbolic,2,1,0,False,0,1,1,,,,,,['Put the <pencil box>(43) on the <coffee table>(4). The <pencil box>(43) is originally in the <utility room>(34).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:39:47+0530
folbp-prompt-only,- verification,0,env1,6,completed,True,7,8,1.1429,14.99,2,2,0,0,0,7450,350,7800,14.936,none,0,0,0,none,0,0,0,False,0,2,2,,,,,,['Put the <pencil box>(43) on the <coffee table>(4). The <pencil box>(43) is originally in the <utility room>(34).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:38:58+0530
pefa,PEFA (baseline),0,env1,6,completed,True,7,8,1.1429,158.963,40,16,0,16,8,86073,4084,90157,158.826,,,,,,,,,,,,,,,,,,['Put the <pencil box>(43) on the <coffee table>(4). The <pencil box>(43) is originally in the <utility room>(34).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:42:47+0530
folbp,"FOLBP (full, ours)",0,env1,7,completed,True,8,8,1.0,32.994,2,2,0,0,0,7939,290,8229,32.001,z3,2,0,0,symbolic,0,0,0,True,1,2,2,,,,,,['The <quadrotor>(22) lands on the <kitchen table>(11) with the <cookbook>(28) in the <basket>(23). '],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:43:26+0530
folbp-llm-repair,repair: LLM re-prompt,0,env1,7,completed,True,8,8,1.0,12.995,2,1,1,0,0,7712,487,8199,12.851,z3,2,1,0,llm,1,1,0,True,0,1,1,,,,,,['The <quadrotor>(22) lands on the <kitchen table>(11) with the <cookbook>(28) in the <basket>(23). '],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:44:00+0530
folbp-naive,naive one-shot,0,env1,7,completed,False,8,5,,6.89,1,1,0,0,0,3920,203,4123,6.829,shadow,1,0,0,none,0,0,0,False,0,2,1,,,,,,['The <quadrotor>(22) lands on the <kitchen table>(11) with the <cookbook>(28) in the <basket>(23). '],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:44:07+0530
folbp-no-cdcl,- CDCL,0,env1,7,completed,True,8,8,1.0,6.828,1,1,0,0,0,3920,201,4121,6.704,z3,2,1,0,symbolic,1,1,0,False,0,1,1,,,,,,['The <quadrotor>(22) lands on the <kitchen table>(11) with the <cookbook>(28) in the <basket>(23). '],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:43:55+0530
folbp-prompt-only,- verification,0,env1,7,completed,True,8,8,1.0,10.016,2,2,0,0,0,8178,261,8439,9.948,none,0,0,0,none,0,0,0,False,0,2,2,,,,,,['The <quadrotor>(22) lands on the <kitchen table>(11) with the <cookbook>(28) in the <basket>(23). '],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:43:41+0530
pefa,PEFA (baseline),0,env1,7,completed,True,8,8,1.0,141.458,40,16,0,16,8,87558,4004,91562,141.313,,,,,,,,,,,,,,,,,,['The <quadrotor>(22) lands on the <kitchen table>(11) with the <cookbook>(28) in the <basket>(23). '],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:46:26+0530
folbp,"FOLBP (full, ours)",0,env1,8,completed,True,11,16,1.4545,25.218,2,2,0,0,0,8628,513,9141,24.865,z3,4,2,0,symbolic,2,1,0,True,1,2,2,,,,,,['The <quadrotor>(22) lands on the <dining table>(9) with the <bread>(25) in the <basket>(23). The <bread>(25) is originally in the <fridge>(7).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:44:36+0530
folbp-llm-repair,repair: LLM re-prompt,0,env1,8,completed,True,11,16,1.4545,53.097,4,2,2,0,0,16348,1329,17677,52.769,z3,4,2,0,llm,2,1,0,True,1,2,2,,,,,,['The <quadrotor>(22) lands on the <dining table>(9) with the <bread>(25) in the <basket>(23). The <bread>(25) is originally in the <fridge>(7).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:45:35+0530
folbp-naive,naive one-shot,0,env1,8,completed,False,11,2,,14.046,1,1,0,0,0,3870,283,4153,14.013,shadow,1,1,1,none,0,0,0,False,0,2,1,,,,,,['The <quadrotor>(22) lands on the <dining table>(9) with the <bread>(25) in the <basket>(23). The <bread>(25) is originally in the <fridge>(7).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:45:40+0530
folbp-no-cdcl,- CDCL,0,env1,8,completed,True,11,16,1.4545,29.602,2,2,0,0,0,8523,513,9036,29.325,z3,4,2,0,symbolic,2,1,0,False,0,2,2,,,,,,['The <quadrotor>(22) lands on the <dining table>(9) with the <bread>(25) in the <basket>(23). The <bread>(25) is originally in the <fridge>(7).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:45:18+0530
folbp-prompt-only,- verification,0,env1,8,completed,True,11,11,1.0,30.615,3,3,0,0,0,11740,602,12342,30.528,none,0,0,0,none,0,0,0,False,0,3,3,,,,,,['The <quadrotor>(22) lands on the <dining table>(9) with the <bread>(25) in the <basket>(23). The <bread>(25) is originally in the <fridge>(7).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:44:44+0530
pefa,PEFA (baseline),0,env1,8,completed,True,11,11,1.0,290.652,55,22,0,22,11,116874,3738,120612,290.499,,,,,,,,,,,,,,,,,,['The <quadrotor>(22) lands on the <dining table>(9) with the <bread>(25) in the <basket>(23). The <bread>(25) is originally in the <fridge>(7).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:50:33+0530
folbp,"FOLBP (full, ours)",0,env1,9,completed,True,10,10,1.0,10.976,1,1,0,0,0,4060,290,4350,10.833,z3,1,0,0,symbolic,0,0,0,True,0,1,1,,,,,,['Put the <fruit bowl>(30) into the <sink>(8). '],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:45:56+0530
folbp-llm-repair,repair: LLM re-prompt,0,env1,9,completed,True,10,10,1.0,10.788,1,1,0,0,0,4060,290,4350,10.702,z3,1,0,0,llm,0,0,0,True,0,1,1,,,,,,['Put the <fruit bowl>(30) into the <sink>(8). '],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:46:16+0530
folbp-naive,naive one-shot,0,env1,9,completed,True,10,10,1.0,12.545,1,1,0,0,0,4060,290,4350,12.337,shadow,1,0,0,none,0,0,0,False,0,1,1,,,,,,['Put the <fruit bowl>(30) into the <sink>(8). '],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:46:35+0530
folbp-no-cdcl,- CDCL,0,env1,9,completed,True,10,10,1.0,12.479,1,1,0,0,0,4060,290,4350,12.224,z3,1,0,0,symbolic,0,0,0,False,0,1,1,,,,,,['Put the <fruit bowl>(30) into the <sink>(8). '],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:46:34+0530
folbp-prompt-only,- verification,0,env1,9,completed,True,10,10,1.0,12.707,1,1,0,0,0,4060,290,4350,12.615,none,0,0,0,none,0,0,0,False,0,1,1,,,,,,['Put the <fruit bowl>(30) into the <sink>(8). '],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:46:15+0530
pefa,PEFA (baseline),0,env1,9,completed,True,10,10,1.0,141.413,50,20,0,20,10,99978,3446,103424,141.256,,,,,,,,,,,,,,,,,,['Put the <fruit bowl>(30) into the <sink>(8). '],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:48:54+0530
folbp,"FOLBP (full, ours)",0,env1,10,completed,True,14,14,1.0,11.625,1,1,0,0,0,4867,397,5264,11.33,z3,2,1,0,symbolic,1,1,0,True,0,1,1,,,,,,['Put the <plate>(40) into the <fridge>(7).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:46:51+0530
folbp-llm-repair,repair: LLM re-prompt,0,env1,10,completed,True,14,14,1.0,23.711,2,1,1,0,0,9850,927,10777,23.51,z3,2,1,0,llm,1,1,0,True,0,1,1,,,,,,['Put the <plate>(40) into the <fridge>(7).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:47:22+0530
folbp-naive,naive one-shot,0,env1,10,completed,True,14,14,1.0,12.66,1,1,0,0,0,4867,402,5269,12.426,shadow,1,1,1,none,0,0,0,False,0,1,1,,,,,,['Put the <plate>(40) into the <fridge>(7).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:47:41+0530
folbp-no-cdcl,- CDCL,0,env1,10,completed,True,14,14,1.0,11.663,1,1,0,0,0,4867,397,5264,11.385,z3,2,1,0,symbolic,1,1,0,False,0,1,1,,,,,,['Put the <plate>(40) into the <fridge>(7).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:47:29+0530
folbp-prompt-only,- verification,0,env1,10,completed,True,14,14,1.0,29.501,1,1,0,0,0,4867,397,5264,29.38,none,0,0,0,none,0,0,0,False,0,1,1,,,,,,['Put the <plate>(40) into the <fridge>(7).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:47:11+0530
pefa,PEFA (baseline),0,env1,10,completed,True,14,14,1.0,240.152,70,28,0,28,14,166533,4949,171482,239.894,,,,,,,,,,,,,,,,,,['Put the <plate>(40) into the <fridge>(7).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:51:35+0530
folbp,"FOLBP (full, ours)",0,env1,11,completed,True,10,10,1.0,14.045,1,1,0,0,0,4163,288,4451,13.924,z3,1,0,0,symbolic,0,0,0,True,0,1,1,,,,,,['The <quadrotor>(22) lands on the <dining table>(9) with the <apple>(14) and <tomato>(15) in the <basket>(23). '],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:48:00+0530
folbp-llm-repair,repair: LLM re-prompt,0,env1,11,completed,True,10,10,1.0,27.246,1,1,0,0,0,4163,288,4451,27.116,z3,1,0,0,llm,0,0,0,True,0,1,1,,,,,,['The <quadrotor>(22) lands on the <dining table>(9) with the <apple>(14) and <tomato>(15) in the <basket>(23). '],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:48:50+0530
folbp-naive,naive one-shot,0,env1,11,completed,True,10,10,1.0,11.322,1,1,0,0,0,4163,288,4451,11.195,shadow,1,0,0,none,0,0,0,False,0,1,1,,,,,,['The <quadrotor>(22) lands on the <dining table>(9) with the <apple>(14) and <tomato>(15) in the <basket>(23). '],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:49:11+0530
folbp-no-cdcl,- CDCL,0,env1,11,completed,True,10,10,1.0,12.091,1,1,0,0,0,4163,288,4451,12.009,z3,1,0,0,symbolic,0,0,0,False,0,1,1,,,,,,['The <quadrotor>(22) lands on the <dining table>(9) with the <apple>(14) and <tomato>(15) in the <basket>(23). '],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:49:08+0530
folbp-prompt-only,- verification,0,env1,11,completed,True,10,10,1.0,11.624,1,1,0,0,0,4163,288,4451,11.53,none,0,0,0,none,0,0,0,False,0,1,1,,,,,,['The <quadrotor>(22) lands on the <dining table>(9) with the <apple>(14) and <tomato>(15) in the <basket>(23). '],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:48:17+0530
pefa,PEFA (baseline),0,env1,11,completed,True,10,10,1.0,160.99,50,20,0,20,10,103775,3819,107594,160.806,,,,,,,,,,,,,,,,,,['The <quadrotor>(22) lands on the <dining table>(9) with the <apple>(14) and <tomato>(15) in the <basket>(23). '],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:51:56+0530
folbp,"FOLBP (full, ours)",0,env1,12,completed,True,12,12,1.0,9.205,1,1,0,0,0,3838,314,4152,8.958,z3,2,1,0,symbolic,1,1,0,True,0,1,1,,,,,,['The <quadrotor>(22) lands on the <dining table>(9) with the <cookbook>(28) and <magazine>(26) in the <basket>(23). '],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:49:26+0530
folbp-llm-repair,repair: LLM re-prompt,0,env1,12,completed,True,12,12,1.0,15.06,2,2,0,0,0,7789,405,8194,14.778,z3,2,0,0,llm,0,0,0,True,1,2,2,,,,,,['The <quadrotor>(22) lands on the <dining table>(9) with the <cookbook>(28) and <magazine>(26) in the <basket>(23). '],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:50:07+0530
folbp-naive,naive one-shot,0,env1,12,completed,False,12,10,,9.951,1,1,0,0,0,3838,314,4152,9.745,shadow,1,1,1,none,0,0,0,False,0,2,1,,,,,,['The <quadrotor>(22) lands on the <dining table>(9) with the <cookbook>(28) and <magazine>(26) in the <basket>(23). '],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:50:41+0530
folbp-no-cdcl,- CDCL,0,env1,12,completed,True,12,12,1.0,8.554,1,1,0,0,0,3838,314,4152,9.577,z3,2,1,0,symbolic,1,1,0,False,0,1,1,,,,,,['The <quadrotor>(22) lands on the <dining table>(9) with the <cookbook>(28) and <magazine>(26) in the <basket>(23). '],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:50:23+0530
folbp-prompt-only,- verification,0,env1,12,completed,True,12,12,1.0,13.963,2,2,0,0,0,8067,372,8439,13.85,none,0,0,0,none,0,0,0,False,0,2,2,,,,,,['The <quadrotor>(22) lands on the <dining table>(9) with the <cookbook>(28) and <magazine>(26) in the <basket>(23). '],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:49:45+0530
pefa,PEFA (baseline),0,env1,12,completed,True,12,12,1.0,212.517,60,24,0,24,12,128776,4170,132946,212.31,,,,,,,,,,,,,,,,,,['The <quadrotor>(22) lands on the <dining table>(9) with the <cookbook>(28) and <magazine>(26) in the <basket>(23). '],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:54:12+0530
folbp,"FOLBP (full, ours)",0,env1,13,completed,True,13,15,1.1538,19.501,1,1,0,0,0,4531,530,5061,19.391,z3,3,2,0,symbolic,2,1,0,True,0,1,1,,,,,,['The <quadrotor>(22) lands on the <dining table>(9) with the <knife>(50) and <fork>(51) in the <basket>(23). The <knife>(50) and <fork>(51) are originally in the <fridge>(7).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:51:07+0530
folbp-llm-repair,repair: LLM re-prompt,0,env1,13,completed,True,13,15,1.1538,31.951,3,1,2,0,0,13846,1482,15328,31.729,z3,3,2,0,llm,2,1,0,True,0,1,1,,,,,,['The <quadrotor>(22) lands on the <dining table>(9) with the <knife>(50) and <fork>(51) in the <basket>(23). The <knife>(50) and <fork>(51) are originally in the <fridge>(7).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:52:13+0530
folbp-naive,naive one-shot,0,env1,13,completed,False,13,2,,18.63,1,1,0,0,0,4531,530,5061,18.495,shadow,1,1,1,none,0,0,0,False,0,2,1,,,,,,['The <quadrotor>(22) lands on the <dining table>(9) with the <knife>(50) and <fork>(51) in the <basket>(23). The <knife>(50) and <fork>(51) are originally in the <fridge>(7).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:52:23+0530
folbp-no-cdcl,- CDCL,0,env1,13,completed,True,13,15,1.1538,15.735,1,1,0,0,0,4531,392,4923,15.438,z3,3,2,0,symbolic,2,1,0,False,0,1,1,,,,,,['The <quadrotor>(22) lands on the <dining table>(9) with the <knife>(50) and <fork>(51) in the <basket>(23). The <knife>(50) and <fork>(51) are originally in the <fridge>(7).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:51:59+0530
folbp-prompt-only,- verification,0,env1,13,completed,True,13,13,1.0,25.34,2,2,0,0,0,9578,706,10284,25.252,none,0,0,0,none,0,0,0,False,0,2,2,,,,,,['The <quadrotor>(22) lands on the <dining table>(9) with the <knife>(50) and <fork>(51) in the <basket>(23). The <knife>(50) and <fork>(51) are originally in the <fridge>(7).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:51:38+0530
pefa,PEFA (baseline),0,env1,13,completed,True,13,19,1.4615,391.038,95,38,0,38,19,243749,7796,251545,390.686,,,,,,,,,,,,,,,,,,['The <quadrotor>(22) lands on the <dining table>(9) with the <knife>(50) and <fork>(51) in the <basket>(23). The <knife>(50) and <fork>(51) are originally in the <fridge>(7).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:58:36+0530
folbp,"FOLBP (full, ours)",0,env1,14,completed,True,14,15,1.0714,30.354,2,2,0,0,0,8580,638,9218,30.019,z3,4,2,0,symbolic,2,1,0,True,1,2,2,,,,,,['Put the <meat ball>(52) into the <frying pan>(19) which is on the <burner>(10). The <meat ball>(52) is originally in the <fridge>(7).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:52:49+0530
folbp-llm-repair,repair: LLM re-prompt,0,env1,14,completed,True,14,15,1.0714,43.998,4,2,2,0,0,16370,1741,18111,43.72,z3,4,2,0,llm,2,1,0,True,1,2,2,,,,,,['Put the <meat ball>(52) into the <frying pan>(19) which is on the <burner>(10). The <meat ball>(52) is originally in the <fridge>(7).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:53:39+0530
folbp-naive,naive one-shot,0,env1,14,completed,False,14,3,,14.459,1,1,0,0,0,3759,400,4159,14.379,shadow,1,1,1,none,0,0,0,False,0,2,1,,,,,,['Put the <meat ball>(52) into the <frying pan>(19) which is on the <burner>(10). The <meat ball>(52) is originally in the <fridge>(7).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:54:00+0530
folbp-no-cdcl,- CDCL,0,env1,14,completed,True,14,15,1.0714,43.432,2,2,0,0,0,8475,643,9118,43.122,z3,4,2,0,symbolic,2,1,0,False,0,2,2,,,,,,['Put the <meat ball>(52) into the <frying pan>(19) which is on the <burner>(10). The <meat ball>(52) is originally in the <fridge>(7).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:53:46+0530
folbp-prompt-only,- verification,0,env1,14,completed,True,14,15,1.0714,31.083,2,2,0,0,0,7883,749,8632,30.996,none,0,0,0,none,0,0,0,False,0,2,2,,,,,,['Put the <meat ball>(52) into the <frying pan>(19) which is on the <burner>(10). The <meat ball>(52) is originally in the <fridge>(7).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:52:57+0530
pefa,PEFA (baseline),0,env1,14,completed,True,14,15,1.0714,251.583,77,32,0,30,15,171645,4825,176470,251.279,,,,,,,,,,,,,,,,,,['Put the <meat ball>(52) into the <frying pan>(19) which is on the <burner>(10). The <meat ball>(52) is originally in the <fridge>(7).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:58:06+0530
folbp,"FOLBP (full, ours)",0,env1,15,completed,True,16,16,1.0,14.345,1,1,0,0,0,3776,434,4210,14.121,z3,2,1,0,symbolic,1,1,0,True,0,1,1,,,,,,['Put the <beer glass>(53) and <cup>(49) into the <sink>(8).'],17554a52792e302921bbb5e5fd3b4049e25b50d4,gemini-2.5-flash,0.0,2026-08-08T18:54:20+0530
